Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\ultrazohm_digital_optical_16tx_3rx_2vxx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx_3vxx\Pick Place\PickPlace_Digital_Optical_18Tx_14Tx4Rx_3vxx_4v01.csv

========================================================================================================================
File Design Information:

Date:       22.10.20
Time:       09:29
Revision:   664f21409b341e8ba06b107566dc64a46c47863b
Variant:    18Tx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"R21A","0603_CONFIG","109.5000","109.5000","17.9366","17.9366","109.5000","18.6615","270","0R","TopLayer"
"R21B","0603_CONFIG","109.5000","109.5000","7.7366","7.7366","109.5000","8.4615","270","0R","TopLayer"
"R25A","0603_CONFIG","109.5000","109.5000","22.5866","22.5866","109.5000","23.3115","270","0R","TopLayer"
"R25B","0603_CONFIG","109.5000","109.5000","12.4000","12.4000","109.5000","13.1249","270","0R","TopLayer"
"C1A","C_0603(1608)100_L","104.8714","104.8714","91.3788","91.3788","104.8714","92.0788","270","100nF","TopLayer"
"C1B","C_0603(1608)100_L","104.8714","104.8714","81.2188","81.2188","104.8714","81.9188","270","100nF","TopLayer"
"C1C","C_0603(1608)100_L","104.8714","104.8714","71.0588","71.0588","104.8714","71.7588","270","100nF","TopLayer"
"C1D","C_0603(1608)100_L","104.8714","104.8714","60.8988","60.8988","104.8714","61.5988","270","100nF","TopLayer"
"C1E","C_0603(1608)100_L","104.8714","104.8714","50.6448","50.6448","104.8714","51.3448","270","100nF","TopLayer"
"C1F","C_0603(1608)100_L","104.8364","104.8364","40.4848","40.4848","104.8364","41.1848","270","100nF","TopLayer"
"C9A","C_0603(1608)100_L","101.5770","101.5770","20.5688","20.5688","101.5770","21.2688","270","100nF","TopLayer"
"C9B","C_0603(1608)100_L","101.6214","101.6214","10.3484","10.3484","101.6214","11.0484","270","100nF","TopLayer"
"C1G","C_0603(1608)100_L","104.8364","104.8364","30.3168","30.3168","104.8364","31.0168","270","100nF","TopLayer"
