Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_D_Optical_18Tx_14Tx4Rx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx\Rev05\Pick Place\Pick Place for Digital_Optical_18Tx_14Tx4Rx(14Tx4Rx).csv

========================================================================================================================
File Design Information:

Date:       13.03.21
Time:       18:10
Revision:   dee06b36768521d73c999e4451e8eeb890f42d96
Variant:    14Tx4Rx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C9B","C_0603(1608)100_L","107.1000","107.1000","17.6960","17.6960","107.1000","18.3960","270","100nF","TopLayer"
"C9A","C_0603(1608)100_L","107.1000","107.1000","22.8000","22.8000","107.1000","23.5000","270","100nF","TopLayer"
"C9D","C_0603(1608)100_L","107.1000","107.1000","6.7000","6.7000","107.1000","7.4000","270","100nF","TopLayer"
"C9C","C_0603(1608)100_L","107.1000","107.1000","11.5000","11.5000","107.1000","12.2000","270","100nF","TopLayer"
"C1N","C_0603(1608)100_L","108.2000","108.2000","27.7000","27.7000","108.2000","28.4000","270","100nF","TopLayer"
"C1M","C_0603(1608)100_L","108.2000","108.2000","32.2000","32.2000","108.2000","31.5000","90","100nF","TopLayer"
"C1L","C_0603(1608)100_L","108.2000","108.2000","37.9000","37.9000","108.2000","38.6000","270","100nF","TopLayer"
"C1K","C_0603(1608)100_L","108.2000","108.2000","42.4000","42.4000","108.2000","41.7000","90","100nF","TopLayer"
"C1J","C_0603(1608)100_L","108.2000","108.2000","48.1000","48.1000","108.2000","48.8000","270","100nF","TopLayer"
"C1I","C_0603(1608)100_L","108.2000","108.2000","52.6000","52.6000","108.2000","51.9000","90","100nF","TopLayer"
"C1H","C_0603(1608)100_L","108.2000","108.2000","58.3000","58.3000","108.2000","59.0000","270","100nF","TopLayer"
"C1G","C_0603(1608)100_L","108.2000","108.2000","62.8000","62.8000","108.2000","62.1000","90","100nF","TopLayer"
"C1F","C_0603(1608)100_L","108.2000","108.2000","68.5120","68.5120","108.2000","69.2120","270","100nF","TopLayer"
"C1E","C_0603(1608)100_L","108.2000","108.2000","73.0000","73.0000","108.2000","72.3000","90","100nF","TopLayer"
"C1D","C_0603(1608)100_L","108.1750","108.1750","78.6500","78.6500","108.1750","79.3500","270","100nF","TopLayer"
"C1C","C_0603(1608)100_L","108.2000","108.2000","83.1000","83.1000","108.2000","82.4000","90","100nF","TopLayer"
"C1B","C_0603(1608)100_L","108.2000","108.2000","88.8000","88.8000","108.2000","89.5000","270","100nF","TopLayer"
"C1A","C_0603(1608)100_L","108.2000","108.2000","93.3000","93.3000","108.2000","92.6000","90","100nF","TopLayer"
"C4","C_0603(1608)100_L","20.4470","20.4470","76.9620","76.9620","19.7470","76.9620","360","100nF","TopLayer"
"C7","C_0603(1608)100_L","26.2890","26.2890","71.8820","71.8820","26.2890","72.5820","270","10nF","TopLayer"
"C11","C_0603(1608)100_L","41.5290","41.5290","88.2650","88.2650","41.5290","88.9650","270","220pF","TopLayer"
"C13","C_0603(1608)100_L","15.1130","15.1130","74.2950","74.2950","15.1130","74.9950","270","100nF","TopLayer"
"C12","C_1206","3.4290","3.4290","73.0250","73.0250","3.4290","74.4750","90","10µF","TopLayer"
"C6","C_1206","49.1000","49.1000","88.9000","88.9000","49.1000","87.4500","270","10µF","TopLayer"
