Altium Designer Pick and Place Locations
C:\Users\Student\Desktop\Altium\Redesign 18Rx Platine\uz_d_optical_18tx_14tx4rx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx\Rev07\Pick Place\Pick Place for Digital_Optical(18Tx).csv

========================================================================================================================
File Design Information:

Date:       16.08.21
Time:       10:41
Revision:   2add147e34c670a1b1b4374e0540d0f19600668f
Variant:    18Tx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C9P","C_0603(1608)100_L","104.3000","104.3000","17.0750","17.0750","104.3000","17.7750","270","100nF","TopLayer",""
"C9R","C_0603(1608)100_L","104.3000","104.3000","6.6000","6.6000","104.3000","7.3000","270","100nF","TopLayer",""
"C9Q","C_0603(1608)100_L","104.3000","104.3000","11.2000","11.2000","104.3000","11.9000","270","100nF","TopLayer",""
"C9O","C_0603(1608)100_L","104.3000","104.3000","21.5000","21.5000","104.3000","22.2000","270","100nF","TopLayer",""
"C9N","C_0603(1608)100_L","104.3000","104.3000","27.7250","27.7250","104.3000","28.4250","270","100nF","TopLayer",""
"C9M","C_0603(1608)100_L","104.2831","104.2831","32.0581","32.0581","104.2831","32.7581","270","100nF","TopLayer",""
"C9L","C_0603(1608)100_L","104.2000","104.2000","37.8000","37.8000","104.2000","38.5000","270","100nF","TopLayer",""
"C9K","C_0603(1608)100_L","104.2000","104.2000","42.6000","42.6000","104.2000","43.3000","270","100nF","TopLayer",""
"C9J","C_0603(1608)100_L","104.2000","104.2000","48.5250","48.5250","104.2000","49.2250","270","100nF","TopLayer",""
"C9I","C_0603(1608)100_L","104.2000","104.2000","52.8000","52.8000","104.2000","53.5000","270","100nF","TopLayer",""
"C9H","C_0603(1608)100_L","104.2000","104.2000","58.1000","58.1000","104.2000","58.8000","270","100nF","TopLayer",""
"C9G","C_0603(1608)100_L","104.1860","104.1860","62.7360","62.7360","104.1860","63.4360","270","100nF","TopLayer",""
"C9F","C_0603(1608)100_L","104.2000","104.2000","68.1250","68.1250","104.2000","68.8250","270","100nF","TopLayer",""
"C9E","C_0603(1608)100_L","104.1610","104.1610","73.1360","73.1360","104.1610","73.8360","270","100nF","TopLayer",""
"C9B","C_0603(1608)100_L","104.2750","104.2750","88.5750","88.5750","104.2750","89.2750","270","100nF","TopLayer",""
"C9A","C_0603(1608)100_L","104.2000","104.2000","93.2250","93.2250","104.2000","93.9250","270","100nF","TopLayer",""
"C9D","C_0603(1608)100_L","104.2000","104.2000","78.6250","78.6250","104.2000","79.3250","270","100nF","TopLayer",""
"C9C","C_0603(1608)100_L","104.2000","104.2000","83.1250","83.1250","104.2000","83.8250","270","100nF","TopLayer",""
"C4","C_0603(1608)100_L","20.4470","20.4470","76.9620","76.9620","19.7470","76.9620","0","100nF","TopLayer",""
"C7","C_0603(1608)100_L","26.2890","26.2890","71.8820","71.8820","26.2890","72.5820","270","10nF","TopLayer",""
"C11","C_0603(1608)100_L","41.5290","41.5290","88.2650","88.2650","41.5290","88.9650","270","220pF","TopLayer",""
"C13","C_0603(1608)100_L","15.1130","15.1130","74.2950","74.2950","15.1130","74.9950","270","100nF","TopLayer",""
"C12","C_1206","3.4290","3.4290","73.0250","73.0250","3.4290","74.4750","90","10µF","TopLayer",""
"C6","C_1206","49.1000","49.1000","88.9000","88.9000","49.1000","87.4500","270","10µF","TopLayer",""
"C10","C_1206","46.6000","46.6000","88.9000","88.9000","46.6000","87.4500","270","10µF","TopLayer",""
"C8P","CAP_2012X06N","102.5095","102.5095","17.0730","17.0730","102.5095","17.9980","270","4.7µF","TopLayer",""
"C8R","CAP_2012X06N","102.5095","102.5095","6.5980","6.5980","102.5095","7.5230","270","4.7µF","TopLayer",""
"C8Q","CAP_2012X06N","102.5095","102.5095","11.1980","11.1980","102.5095","12.1230","270","4.7µF","TopLayer",""
"C8O","CAP_2012X06N","102.5095","102.5095","21.4980","21.4980","102.5095","22.4230","270","4.7µF","TopLayer",""
"C8N","CAP_2012X06N","102.5095","102.5095","27.7230","27.7230","102.5095","28.6480","270","4.7µF","TopLayer",""
"C8M","CAP_2012X06N","102.4926","102.4926","32.0561","32.0561","102.4926","32.9811","270","4.7µF","TopLayer",""
"C8L","CAP_2012X06N","102.4095","102.4095","37.7980","37.7980","102.4095","38.7230","270","4.7µF","TopLayer",""
"C8K","CAP_2012X06N","102.4095","102.4095","42.5980","42.5980","102.4095","43.5230","270","4.7µF","TopLayer",""
"C8J","CAP_2012X06N","102.4095","102.4095","48.5230","48.5230","102.4095","49.4480","270","4.7µF","TopLayer",""
"C8I","CAP_2012X06N","102.4095","102.4095","52.7980","52.7980","102.4095","53.7230","270","4.7µF","TopLayer",""
"C8H","CAP_2012X06N","102.4095","102.4095","58.0980","58.0980","102.4095","59.0230","270","4.7µF","TopLayer",""
"C8G","CAP_2012X06N","102.3955","102.3955","62.7340","62.7340","102.3955","63.6590","270","4.7µF","TopLayer",""
"C8F","CAP_2012X06N","102.4095","102.4095","68.1230","68.1230","102.4095","69.0480","270","4.7µF","TopLayer",""
"C8E","CAP_2012X06N","102.3705","102.3705","73.1340","73.1340","102.3705","74.0590","270","4.7µF","TopLayer",""
"C8B","CAP_2012X06N","102.4845","102.4845","88.5730","88.5730","102.4845","89.4980","270","4.7µF","TopLayer",""
"C8A","CAP_2012X06N","102.4095","102.4095","93.2230","93.2230","102.4095","94.1480","270","4.7µF","TopLayer",""
"C8D","CAP_2012X06N","102.4095","102.4095","78.6230","78.6230","102.4095","79.5480","270","4.7µF","TopLayer",""
"C8C","CAP_2012X06N","102.4095","102.4095","83.1230","83.1230","102.4095","84.0480","270","4.7µF","TopLayer",""
"C3","CAPAE9083X105M","49.5000","49.5000","78.3750","78.3750","49.5000","81.8500","90","220uF","TopLayer",""
"C5","CAPAE9083X105M","9.7790","9.7790","73.6600","73.6600","9.7790","70.1850","270","220uF","TopLayer",""
"D5","DPAK254P1542X460-3N","33.9250","33.9250","71.6280","70.3030","31.3850","65.2780","90","Value","TopLayer",""
"U1P","HFBRx5XX","126.5270","130.3370","15.6540","19.4640","126.5270","15.6540","270","Optical Transmitter","BottomLayer",""
"U1R","HFBRx5XX","126.5270","130.3370","5.4340","9.2440","126.5270","5.4340","270","Optical Transmitter","BottomLayer",""
"U1Q","HFBRx5XX","130.9150","134.7250","13.0030","9.1930","130.9150","13.0030","90","Optical Transmitter","TopLayer",""
"U1O","HFBRx5XX","130.9150","134.7250","23.2230","19.4130","130.9150","23.2230","90","Optical Transmitter","TopLayer",""
"U1N","HFBRx5XX","126.5270","130.3370","25.8190","29.6290","126.5270","25.8190","270","Optical Transmitter","BottomLayer",""
"U1M","HFBRx5XX","130.9150","134.7250","33.4390","29.6290","130.9150","33.4390","90","Optical Transmitter","TopLayer",""
"U1L","HFBRx5XX","126.5270","130.3370","35.9870","39.7970","126.5270","35.9870","270","Optical Transmitter","BottomLayer",""
"U1K","HFBRx5XX","130.9150","134.7250","43.6070","39.7970","130.9150","43.6070","90","Optical Transmitter","TopLayer",""
"U1J","HFBRx5XX","126.5270","130.3370","46.1470","49.9570","126.5270","46.1470","270","Optical Transmitter","BottomLayer",""
"U1I","HFBRx5XX","130.9150","134.7250","53.7670","49.9570","130.9150","53.7670","90","Optical Transmitter","TopLayer",""
"U1H","HFBRx5XX","126.5270","130.3370","56.4010","60.2110","126.5270","56.4010","270","Optical Transmitter","BottomLayer",""
"U1G","HFBRx5XX","130.9150","134.7250","64.0210","60.2110","130.9150","64.0210","90","Optical Transmitter","TopLayer",""
"U1F","HFBRx5XX","126.5270","130.3370","66.5610","70.3710","126.5270","66.5610","270","Optical Transmitter","BottomLayer",""
"U1E","HFBRx5XX","130.9150","134.7250","74.1810","70.3710","130.9150","74.1810","90","Optical Transmitter","TopLayer",""
"U1D","HFBRx5XX","126.5270","130.3370","76.7210","80.5310","126.5270","76.7210","270","Optical Transmitter","BottomLayer",""
"U1C","HFBRx5XX","130.9150","134.7250","84.3410","80.5310","130.9150","84.3410","90","Optical Transmitter","TopLayer",""
"U1B","HFBRx5XX","126.5270","130.3370","86.8810","90.6910","126.5270","86.8810","270","Optical Transmitter","BottomLayer",""
"U1A","HFBRx5XX","130.9150","134.7250","94.5010","90.6910","130.9150","94.5010","90","Optical Transmitter","TopLayer",""
"L2","MWSA1004","33.9250","33.9250","86.8680","86.8680","33.9250","82.1180","90","15uH","TopLayer",""
"R18P","R_0603_N","107.1000","107.1000","17.1750","17.1750","107.1000","16.3750","90","2k","TopLayer",""
"R17P","R_0603_N","116.0000","116.0000","17.1750","17.1750","116.0000","16.3750","90","2k","TopLayer",""
"R14P","R_0603_N","117.5000","117.5000","17.1750","17.1750","117.5000","16.3750","90","0R","TopLayer",""
"R13P","R_0603_N","100.8095","100.8095","17.1730","17.1730","100.8095","17.9730","270","43k","TopLayer",""
"R11P","R_0603_N","114.4000","114.4000","17.1750","17.1750","114.4000","17.9750","270","680R","TopLayer",""
"R9P","R_0603_N","92.4000","92.4000","17.1750","17.1750","92.4000","17.9750","270","680R","TopLayer",""
"R8P","R_0603_N","120.9000","120.9000","17.1750","17.1750","120.9000","17.9750","270","0R","TopLayer",""
"R7P","R_0603_N","105.7000","105.7000","17.1750","17.1750","105.7000","17.9750","270","0R","TopLayer",""
"R18R","R_0603_N","107.1000","107.1000","6.7000","6.7000","107.1000","5.9000","90","2k","TopLayer",""
"R17R","R_0603_N","116.0000","116.0000","6.7000","6.7000","116.0000","5.9000","90","2k","TopLayer",""
"R14R","R_0603_N","117.5000","117.5000","6.7000","6.7000","117.5000","5.9000","90","0R","TopLayer",""
"R14A","R_0603_N","117.4000","117.4000","93.3250","93.3250","117.4000","92.5250","90","0R","TopLayer",""
"R13R","R_0603_N","100.8095","100.8095","6.6980","6.6980","100.8095","7.4980","270","43k","TopLayer",""
"R11R","R_0603_N","114.4000","114.4000","6.7000","6.7000","114.4000","7.5000","270","680R","TopLayer",""
"R9R","R_0603_N","92.4000","92.4000","6.7000","6.7000","92.4000","7.5000","270","680R","TopLayer",""
"R8R","R_0603_N","120.9000","120.9000","6.7000","6.7000","120.9000","7.5000","270","0R","TopLayer",""
"R8A","R_0603_N","120.8000","120.8000","93.3250","93.3250","120.8000","92.5250","90","0R","TopLayer",""
"R7R","R_0603_N","105.7000","105.7000","6.7000","6.7000","105.7000","7.5000","270","0R","TopLayer",""
"R7A","R_0603_N","105.6000","105.6000","93.3250","93.3250","105.6000","94.1250","270","0R","TopLayer",""
"R14Q","R_0603_N","117.5000","117.5000","11.3000","11.3000","117.5000","10.5000","90","0R","TopLayer",""
"R14O","R_0603_N","117.5000","117.5000","21.6000","21.6000","117.5000","20.8000","90","0R","TopLayer",""
"R14N","R_0603_N","117.5000","117.5000","27.8250","27.8250","117.5000","27.0250","90","0R","TopLayer",""
"R14M","R_0603_N","117.4831","117.4831","32.1581","32.1581","117.4831","31.3581","90","0R","TopLayer",""
"R14L","R_0603_N","117.4000","117.4000","37.9000","37.9000","117.4000","37.1000","90","0R","TopLayer",""
"R14K","R_0603_N","117.4000","117.4000","42.7000","42.7000","117.4000","41.9000","90","0R","TopLayer",""
"R14J","R_0603_N","117.4000","117.4000","48.6250","48.6250","117.4000","47.8250","90","0R","TopLayer",""
"R14I","R_0603_N","117.4000","117.4000","52.9000","52.9000","117.4000","52.1000","90","0R","TopLayer",""
"R14H","R_0603_N","117.4000","117.4000","58.2000","58.2000","117.4000","57.4000","90","0R","TopLayer",""
"R14G","R_0603_N","117.3860","117.3860","62.8360","62.8360","117.3860","62.0360","90","0R","TopLayer",""
"R14F","R_0603_N","117.4000","117.4000","68.2250","68.2250","117.4000","67.4250","90","0R","TopLayer",""
"R14E","R_0603_N","117.3610","117.3610","73.2360","73.2360","117.3610","72.4360","90","0R","TopLayer",""
"R14D","R_0603_N","117.4000","117.4000","78.7250","78.7250","117.4000","77.9250","90","0R","TopLayer",""
"R14C","R_0603_N","117.4000","117.4000","83.2250","83.2250","117.4000","82.4250","90","0R","TopLayer",""
"R14B","R_0603_N","117.4750","117.4750","88.6750","88.6750","117.4750","87.8750","90","0R","TopLayer",""
