Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_D_Optical_18Tx_14Tx4Rx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx\Rev08\Pick Place\Pick Place for Digital_Optical(18Rx).csv

========================================================================================================================
File Design Information:

Date:       20.02.25
Time:       22:30
Revision:   d78d63a89c3882aa3e7ec145030c21213b8a2f46
Variant:    18Rx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C1","C_0603","20.3000","20.3000","35.4970","35.4970","21.0000","35.4970","180","100 nF","TopLayer",""
"C9A","C_0603(1608)100_L","104.2000","104.2000","93.2250","93.2250","104.2000","93.9250","270","100nF","TopLayer",""
"C9Q","C_0603(1608)100_L","104.3000","104.3000","11.2000","11.2000","104.3000","11.9000","270","100nF","TopLayer",""
"C9R","C_0603(1608)100_L","104.3000","104.3000","6.6000","6.6000","104.3000","7.3000","270","100nF","TopLayer",""
"C9P","C_0603(1608)100_L","104.3000","104.3000","17.0750","17.0750","104.3000","17.7750","270","100nF","TopLayer",""
"C9O","C_0603(1608)100_L","104.3000","104.3000","21.5000","21.5000","104.3000","22.2000","270","100nF","TopLayer",""
"C9N","C_0603(1608)100_L","104.3000","104.3000","27.7250","27.7250","104.3000","28.4250","270","100nF","TopLayer",""
"C9M","C_0603(1608)100_L","104.2830","104.2830","32.0580","32.0580","104.2830","32.7580","270","100nF","TopLayer",""
"C9L","C_0603(1608)100_L","104.2000","104.2000","37.8000","37.8000","104.2000","38.5000","270","100nF","TopLayer",""
"C9K","C_0603(1608)100_L","104.2000","104.2000","42.6000","42.6000","104.2000","43.3000","270","100nF","TopLayer",""
"C9J","C_0603(1608)100_L","104.2000","104.2000","48.5250","48.5250","104.2000","49.2250","270","100nF","TopLayer",""
"C9I","C_0603(1608)100_L","104.2000","104.2000","52.8000","52.8000","104.2000","53.5000","270","100nF","TopLayer",""
"C9H","C_0603(1608)100_L","104.2000","104.2000","58.1000","58.1000","104.2000","58.8000","270","100nF","TopLayer",""
"C9G","C_0603(1608)100_L","104.1860","104.1860","62.7360","62.7360","104.1860","63.4360","270","100nF","TopLayer",""
"C9F","C_0603(1608)100_L","104.2000","104.2000","68.1250","68.1250","104.2000","68.8250","270","100nF","TopLayer",""
"C9C","C_0603(1608)100_L","104.2000","104.2000","83.1250","83.1250","104.2000","83.8250","270","100nF","TopLayer",""
"C9B","C_0603(1608)100_L","104.2750","104.2750","88.5750","88.5750","104.2750","89.2750","270","100nF","TopLayer",""
"C9E","C_0603(1608)100_L","104.1610","104.1610","73.1360","73.1360","104.1610","73.8360","270","100nF","TopLayer",""
"C9D","C_0603(1608)100_L","104.2000","104.2000","78.6250","78.6250","104.2000","79.3250","270","100nF","TopLayer",""
"C4","C_0603(1608)100_L","20.4470","20.4470","76.9620","76.9620","19.7470","76.9620","0","100nF","TopLayer",""
"C7","C_0603(1608)100_L","26.2890","26.2890","71.8820","71.8820","26.2890","72.5820","270","10nF","TopLayer",""
"C11","C_0603(1608)100_L","41.5290","41.5290","88.2650","88.2650","41.5290","88.9650","270","220pF","TopLayer",""
"C13","C_0603(1608)100_L","15.1130","15.1130","74.2950","74.2950","15.1130","74.9950","270","100nF","TopLayer",""
"C12","C_1206","3.4290","3.4290","73.0250","73.0250","3.4290","74.4750","90","10µF","TopLayer",""
"C6","C_1206","49.1000","49.1000","88.9000","88.9000","49.1000","87.4500","270","10µF","TopLayer",""
"C10","C_1206","46.6000","46.6000","88.9000","88.9000","46.6000","87.4500","270","10µF","TopLayer",""
